BASEPARTNUMBER,PLANTCODE,PROCESSLOCATION1,RCMID,PACKRANKNAME,PACKTYPECODE,CONTAINERQUANTITY,CONTAINERPERPALLET,PARTWEIGHT,TDPVERSION,PERPACKDUNNAGEPIECES,PACKLENGTH,PACKWIDTH,PACKHEIGHT,PACKEMPTYWEIGHT,CONTAINERSPERPALLET,QUANTITYPERCONTAINER,TOOLINGNUMBER,CELLDIMLENGTH,CELLDIMWIDTH,CELLDIMHEIGHT,OVERALLPACKLENGTH,OVERALLPACKWIDTH,OVERALLPACKHEIGHT,OVERALLPACKWEIGHT,PALLETWEIGHT,TRAILERSTACKING
39800TX6 A900M1,MAP,01162005,C200000147,BR,C2,10,24,0.9000,1,1,23.62,22.18,7.25,9.6,24,10,NULL,24,22,7,45.0000,48.0000,46.0000,334.4000,56.0000,2
39800TX6 C900M1,MAP,01162005,C200000147,BR,C2,10,4,0.9000,1,1,23.62,22.18,7.25,9.6,4,10,NULL,24,22,7,45.0000,48.0000,46.0000,334.4000,56.0000,2
39800TX6 X000M1,MAP,03351605,A5004786,BR,A5,60,1,1.6800,1,1,48,45,19.3,102,1,60,,3,9,6,45.0000,48.0000,19.3000,112.0000,0.0000,5
39800TZ3 A000M1,MAP,03351605,A5005154,BR,A5,60,1,1.0800,1,1,48,45,19.3,102,1,60,,3,2,3,45.0000,48.0000,19.3000,114.0000,0.0000,5
39800TZ3 A200M1,MAP,01162005,C200000147,BR,C2,10,24,0.8800,1,1,23.62,22.18,7.25,9.6,24,10,NULL,24,22,7,45.0000,48.0000,46.0000,334.4000,56.0000,2
39800TZ3 A300M1,MAP,01162005,C200000147,BR,C2,10,24,0.8800,1,1,23.62,22.18,7.25,9.6,24,10,NULL,24,22,7,45.0000,48.0000,46.0000,334.4000,56.0000,2
39800TZ3 C000M1,MAP,01162005,C200000147,BR,C2,10,24,0.8800,1,1,23.62,22.18,7.25,9.6,24,10,NULL,24,22,7,45.0000,48.0000,46.0000,334.4000,56.0000,2
39800TZ3 H000M1,MAP,03351605,A5005154,BR,A5,60,1,1.0800,1,1,48,45,19.3,102,1,60,,3,2,3,45.0000,48.0000,19.3000,114.0000,0.0000,5
39810TZ3 A200M1,MAP,01162005,A1005117,BR,A1,60,1,1.9900,1,8,48,45,25,119,1,60,,0,0,0,45.0000,48.0000,25.0000,215.0000,0.0000,4
39810TZ3 C200M1,MAP,01162005,A1005117,BR,A1,60,1,1.9900,1,8,48,45,25,119,1,60,,0,0,0,45.0000,48.0000,25.0000,215.0000,0.0000,4
39810TZ3 H000M1,MAP,01162005,A1005117,BR,A1,60,1,1.9900,1,8,48,45,25,119,1,60,,0,0,0,45.0000,48.0000,25.0000,215.0000,0.0000,4
39835TLA A000M1,MAP,50371006,C2,C,C2,30,4,0.1700,1,1,23.62,22.18,7.25,9.6,4,30,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
39835TVA A000M1,MAP,50371006,C2,C,C2,30,4,0.2000,1,1,23.62,22.18,7.25,9.6,4,30,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
39835TX6 A000M1,MAP,50371006,C2,BE,C2,30,4,0.2200,1,0,23.62,22.18,7.25,9.6,4,30,,0,0,0,45.0000,48.0000,46.0000,286.4000,56.0000,NULL
39835TX6 A200M1,MAP,50371006,C2,BE,C2,30,4,0.2200,1,0,23.62,22.18,7.25,9.6,4,30,,0,0,0,45.0000,48.0000,46.0000,286.4000,56.0000,NULL
39835TZ3 A000M1,MAP,50371006,C2,C,C2,30,4,0.1900,1,1,23.62,22.18,7.25,9.6,4,30,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,NULL
39838TZ3 H000M1,MAP,50371006,C2,C,C2,30,4,0.2600,1,1,23.62,22.18,7.25,9.6,4,30,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,NULL
39860T6A R000M1,MAP,19065002,XX,D,XX,400,1,0.0100,1,0,14.5,10.5,12.5,2,1,400,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1
39860TFK R000M1,MAP,19065002,XX,D,XX,400,1,0.0330,1,0,14.5,10.5,12.5,2.5,1,400,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1
39860TVA A000M1,MAP,19065002,XX,D,XX,400,1,NULL,1,0,14.5,10.5,12.5,2.75,1,400,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1
39860TVA K000M1,MAP,19065002,XX,D,XX,400,1,NULL,1,0,14.5,10.5,12.5,2.75,1,400,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1
39870TGV A000M1,MAP,14029024,C200000063,BR,C2,30,4,0.4900,2,1,23.62,22.18,7.25,9.6,4,30,NULL,6,1.75,3.9,45.0000,48.0000,46.0000,312.3200,56.0000,2
39870TVA A000M1,MAP,14029024,C200000063,BR,C2,30,4,0.3000,2,1,23.62,22.18,7.25,9.6,4,30,NULL,6,1.75,3.9,45.0000,48.0000,46.0000,312.3200,56.0000,2
39875TGV A000,MAP,51628203,D1,C,D1,120,8,0.1900,1,0,23.75,11.12,7.25,5.8,8,120,120,0,0,0,45.0000,48.0000,32.5000,241.6000,56.0000,3
